"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","returns"
6.709286,6.738929,6.475,6.557143,945820400,5.580903,-0.0214262241307418
6.493571,6.648571,6.432857,6.639286,969850000,5.650818,0.0125272546290358
6.631071,6.7125,6.294643,6.363929,1157657200,5.416456,-0.0414738874029528
6.402143,6.476071,6.142857,6.323214,1206735600,5.381804,-0.00639777722221602
6.456071,6.499643,6.35,6.470357,906917200,5.507041,0.0232702862816283
6.526786,6.658214,6.494286,6.658214,789905200,5.666929,0.0290334830056518
6.693214,6.7125,6.561429,6.678929,743979600,5.684561,0.00311119468373944
6.67,6.721429,6.625,6.6675,647186400,5.674832,-0.00171120249968215
6.694643,6.769286,6.692143,6.741071,610184400,5.737451,0.0110342707161604
6.735714,6.773214,6.590357,6.646429,679840000,5.656898,-0.0140396088396042
