"","META.Open","META.High","META.Low","META.Close","META.Volume","META.Adjusted"
"2290",341.850006,344.899994,341.790009,343.179993,12329100,343.179993
"2291",342.589996,344.119995,339.679993,341.369995,14594400,341.369995
"2292",342.459991,358.140015,341.769989,355.640015,29156100,355.640015
"2293",356.269989,356.73999,349.049988,351.890015,21417300,351.890015
"2294",352.170013,352.920013,347.170013,347.709991,15107500,347.709991
"2295",346.820007,354.670013,346.5,354.390015,17137000,354.390015
"2296",355.100006,356.440002,352.619995,354.700012,11521300,354.700012
"2297",356.5,358.790009,349.179993,352.779999,13488500,352.779999
"2298",355.26001,356.48999,350,350.48999,14218900,350.48999
"2299",345.730011,348.329987,342.559998,345.649994,14406500,345.649994
"2300",345.320007,350.709991,345.269989,350.420013,13018700,350.420013
"2301",351.230011,354.190002,349.640015,353.160004,10018600,353.160004
"2302",351.5,358.48999,348.799988,352.089996,11456000,352.089996
"2303",354.559998,355.200012,346.730011,347.630005,13894200,347.630005
"2304",349.230011,349.230011,340.220001,344.459991,14781600,344.459991
"2305",344.910004,345.98999,340.140015,341.160004,11026100,341.160004
"2306",337.570007,339.790009,334.540009,336.950012,14372300,336.950012
"2307",338.799988,343.450012,334.5,341.660004,11024300,341.660004
"2308",341.5,346.519989,341.25,346.230011,9279700,346.230011
"2309",346.679993,351.540009,345.209991,351.190002,12385400,351.190002
"2310",360.910004,375.329987,357.190002,369.790009,33694300,369.790009
"2311",369.579987,374.440002,368.220001,372.459991,14925200,372.459991
"2312",371.910004,373.149994,364.549988,367.809998,15705400,367.809998
"2313",374.559998,377.549988,366.929993,373.279999,29676900,373.279999
"2314",361,365.519989,356.73999,358.320007,33413200,358.320007
"2315",354,360.730011,352.940002,356.299988,15976200,356.299988
"2316",358.100006,359.399994,350.73999,351.950012,13180400,351.950012
"2317",352.730011,353.769989,347.700012,351.23999,12406100,351.23999
"2318",352.420013,360.480011,351.51001,358.920013,14180600,358.920013
"2319",359.640015,363.899994,356.899994,362.970001,10247200,362.970001
"2320",361.399994,365.149994,361.399994,363.51001,8925000,363.51001
"2321",363.76001,365.779999,360.75,361.609985,7798900,361.609985
"2322",361.829987,364.100006,359.040009,361.130005,7469900,361.130005
"2323",362.100006,362.359985,357.809998,359.959991,8400300,359.959991
"2324",358.450012,363,357.109985,362.649994,7170700,362.649994
"2325",362.970001,364.660004,361.480011,363.179993,7195700,363.179993
"2326",362.519989,366.950012,357.380005,366.559998,11222100,366.559998
"2327",362.980011,364.670013,355.070007,358.450012,12328700,358.450012
"2328",356.25,359.859985,355.149994,355.450012,10042400,355.450012
"2329",351.350006,357.570007,351,355.119995,12004500,355.119995
"2330",354.600006,359.98999,353.309998,359.369995,8697700,359.369995
"2331",359.440002,365.690002,359.100006,363.350006,10942000,363.350006
"2332",363.660004,367.959991,361.839996,365.51001,9235100,365.51001
"2333",365.600006,370.859985,365.399994,368.390015,9684500,368.390015
"2334",368.380005,369.440002,364.130005,364.380005,7888700,364.380005
"2335",365.100006,373.73999,364.079987,372.630005,11219100,372.630005
"2336",372.559998,381.48999,370.519989,380.660004,13547300,380.660004
"2337",379.950012,382.76001,378.799988,379.380005,12345400,379.380005
"2338",379.589996,384.329987,378.809998,382.049988,11567200,382.049988
"2339",381.5,381.75,374.059998,375.279999,14832900,375.279999
"2340",374.75,377.160004,373.109985,376.26001,7509600,376.26001
"2341",375.880005,382.959991,373.149994,382.179993,10793800,382.179993
"2342",380.160004,380.869995,374.790009,377.570007,11067200,377.570007
"2343",377.640015,379.829987,376.570007,378,9098900,378
"2344",381.359985,383.790009,378.26001,378.690002,11549600,378.690002
"2345",381.679993,381.75,374.350006,376.51001,13026300,376.51001
"2346",377.399994,378.589996,375.109985,376.529999,8711600,376.529999
"2347",377,377.559998,367.670013,373.920013,17940300,373.920013
"2348",372.790009,373.559998,369.709991,373.059998,11934200,373.059998
"2349",371.410004,371.410004,361.589996,364.720001,26299000,364.720001
"2350",359.299988,361.029999,349.799988,355.700012,19822800,355.700012
"2351",358.5,360.040009,355.190002,357.480011,11751900,357.480011
"2352",347.230011,349.839996,340.690002,343.209991,43692900,343.209991
"2353",345.359985,349.670013,343,345.959991,21806300,345.959991
"2354",343.23999,354.350006,342.369995,352.959991,18801900,352.959991
"2355",349.809998,355.149994,347.079987,353.579987,15205800,353.579987
"2356",347.970001,349.600006,338.920013,340.649994,21710300,340.649994
"2357",343.149994,345.230011,338.880005,339.609985,14452200,339.609985
"2358",340.450012,342.799988,338.149994,339.390015,16547100,339.390015
"2359",341.609985,345.019989,338.640015,343.01001,14905300,343.01001
"2360",335.529999,335.940002,322.700012,326.230011,42885000,326.230011
"2361",328.579987,335.179993,326.160004,332.959991,35377900,332.959991
"2362",329.73999,334.380005,325.799988,333.640015,26443000,333.640015
"2363",337,338.839996,328.980011,329.220001,28307500,329.220001
"2364",331.51001,333.399994,328.709991,330.049988,15946100,330.049988
"2365",327.630005,330.459991,325.309998,325.450012,14708200,325.450012
"2366",323.029999,324.380005,317.369995,323.769989,31658700,323.769989
