"AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted","returns"
3.724,3.7745,3.6365,3.7415,125110000,3.7415,0.00591477349106051
3.692,3.715,3.581,3.5995,135712000,3.5995,-0.0379526927702792
3.585,3.7,3.5645,3.6305,87090000,3.6305,0.00861230726489803
3.6485,3.699,3.5325,3.625,136262000,3.625,-0.00151494284533815
3.651,3.75,3.647,3.7295,134936000,3.7295,0.0288275862068965
3.709,3.751,3.6805,3.702,124400000,3.702,-0.00737364257943418
3.824,4.1,3.816,4.005,335826000,4.005,0.0818476499189627
4.0015,4.067,3.953,4.009,186708000,4.009,0.000998751560549405
3.997,3.997,3.877,3.98,144900000,3.98,-0.00723372412072842
4.015,4.132,3.937,4.05,385008000,4.05,0.0175879396984924
3.8855,4.0265,3.8465,3.8845,421470000,3.8845,-0.0408641975308641
3.8905,4.066,3.863,4.043,189130000,4.043,0.0408031921740251
4.032,4.125,4.006,4.0985,219838000,4.0985,0.0137274301261439
4.071,4.0885,3.993,4.037,134528000,4.037,-0.0150054898133463
4.045,4.067,3.896,3.9315,157514000,3.9315,-0.0261332672776814
3.92,4.0005,3.8985,3.968,143940000,3.968,0.00928398829963117
4.015,4.06,3.82,3.8655,163098000,3.8655,-0.0258316532258065
3.8635,3.8885,3.7935,3.796,112948000,3.796,-0.0179795627991205
3.7755,3.8385,3.7525,3.7855,130914000,3.7855,-0.0027660695468914
3.763,3.832,3.6545,3.659,167532000,3.659,-0.0334169858671246
3.6865,3.708,3.578,3.6395,162626000,3.6395,-0.00532932495217264
3.61,3.667,3.583,3.6205,84870000,3.6205,-0.00522049732106067
3.65,3.7465,3.589,3.7265,144308000,3.7265,0.0292777240712609
3.7285,3.748,3.6655,3.728,100416000,3.728,0.000402522474171496
3.746,3.7875,3.699,3.71,91784000,3.71,-0.00482832618025753
3.6945,3.816,3.6775,3.806,138354000,3.806,0.0258760107816711
3.821,3.8415,3.743,3.823,124134000,3.823,0.00446663163426164
3.9505,4.2375,3.943,4.1145,373696000,4.1145,0.0762490190949514
4.1085,4.135,4.0015,4.036,158244000,4.036,-0.0190788674200997
4.0185,4.0575,3.875,3.915,141410000,3.915,-0.0299801783944499
3.934,3.9845,3.9,3.963,107812000,3.963,0.0122605363984674
3.9275,3.9435,3.8715,3.9175,126638000,3.9175,-0.0114812011102701
3.913,4.045,3.8985,4.031,202164000,4.031,0.0289725590299936
4.0365,4.0395,3.9495,4.004,134012000,4.004,-0.00669808980401887
4.0305,4.098,4.0085,4.0175,137152000,4.0175,0.00337162837162852
4.029,4.0885,4.015,4.081,105412000,4.081,0.0158058494088364
4.0575,4.0785,4.0025,4.0115,124304000,4.0115,-0.0170301396716492
4.0355,4.0945,3.963,4.0055,117400000,4.0055,-0.00149569986289422
4.0055,4.091,3.986,4.075,129166000,4.075,0.0173511421795034
4.1055,4.244,4.09,4.2255,178774000,4.2255,0.0369325153374234
4.162,4.182,4.028,4.0315,156874000,4.0315,-0.0459117264229085
4.0595,4.0765,3.906,3.9715,130746000,3.9715,-0.0148827979660178
3.91,4.052,3.91,3.981,121312000,3.981,0.00239204330857357
3.9675,4,3.8515,3.864,117490000,3.864,-0.0293896006028636
3.901,3.9525,3.7505,3.8075,124088000,3.8075,-0.0146221532091096
3.835,4,3.835,3.9585,119490000,3.9585,0.0396585686145765
3.921,4.1265,3.9205,4.085,115088000,4.085,0.0319565491979286
4.1575,4.215,4.14,4.1485,176048000,4.1485,0.015544675642595
4.1,4.1585,4.066,4.126,136932000,4.126,-0.00542364710136189
4.1105,4.2235,4.075,4.213,134346000,4.213,0.0210857973824528
4.155,4.173,4.0255,4.055,131778000,4.055,-0.0375029670068835
4.065,4.1075,3.9775,4.034,148516000,4.034,-0.00517879161528978
3.9775,4.0395,3.8815,3.982,142802000,3.982,-0.0128904313336637
4.0225,4.1075,3.976,4.0255,147866000,4.0255,0.0109241587142139
3.955,3.9945,3.8,3.815,226202000,3.815,-0.0522916407899641
3.7795,3.8035,3.631,3.733,236810000,3.733,-0.0214941022280472
3.7515,3.806,3.6605,3.6665,142082000,3.6665,-0.0178140905437986
3.612,3.7115,3.526,3.681,205850000,3.681,0.00395472521478246
3.708,3.7205,3.569,3.572,140888000,3.572,-0.0296115186090736
3.6255,3.692,3.526,3.6,84964000,3.6,0.0078387458006719
3.6185,3.72,3.538,3.6245,147110000,3.6245,0.00680555555555551
3.619,3.7745,3.5875,3.752,158320000,3.752,0.0351772658297695
3.728,3.745,3.524,3.5305,138242000,3.5305,-0.0590351812366737
3.535,3.5885,3.3995,3.5315,198832000,3.5315,0.000283245999150195
