"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2501",27.375,27.59,27.297501,27.487499,104782000,25.684967
"2502",27.315001,27.797501,27.290001,27.7575,119994800,25.937265
"2503",27.715,28.1075,27.65,28.030001,108273200,26.191895
"2504",28.077499,28.674999,28.077499,28.487499,137610400,26.61939
"2505",28.3225,28.75,28.122499,28.325001,105497600,26.46755
"2506",28.459999,28.98,28.4375,28.797501,174935200,26.909067
"2507",28.76,29.049999,28.745001,28.797501,136127200,26.909067
"2508",28.844999,29.182501,28.807501,28.955,186098000,27.056236
"2509",29.1175,29.125,28.9125,28.9925,177404400,27.09128
"2510",28.950001,29.344999,28.9375,29.16,111117600,27.247787
"2511",29.184999,29.375,29.17,29.237499,85700000,27.320215
"2512",29.200001,29.35,29.195,29.264999,95132800,27.345911
"2513",29.0875,29.127501,28.91,29.0725,104343600,27.166031
"2514",28.897499,29.129999,28.897499,29.129999,56998000,27.219757
"2515",29.129999,29.450001,29.122499,29.315001,73187600,27.392624
"2516",29.379999,29.504999,29.049999,29.190001,83623600,27.275827
"2517",29.112499,29.2775,29.1,29.182501,60158000,27.268822
"2518",29.1625,29.299999,28.8575,28.955,122345200,27.056236
"2519",28.950001,29.0825,28.690001,29.0375,115127600,27.133324
"2520",28.9625,29.127501,28.9375,29.004999,84472400,27.102953
"2521",28.98,29.215,28.952499,29.1525,88774400,27.240788
"2522",29.195,29.540001,29.1175,29.477501,127007600,27.544477
"2523",29.487499,29.8575,29.485001,29.747499,134247600,27.796766
"2524",29.692499,29.844999,29.575001,29.7775,97848400,27.8248
"2525",29.684999,29.9825,29.65,29.9375,110354400,27.974306
"2526",29.725,29.825001,29.5525,29.8125,108344800,27.8575
"2527",29.7775,29.905001,29.702499,29.76,104447600,27.808447
"2528",29.584999,30.059999,29.555,30,137759200,28.032707
